Page / Section	English Content	Arabic Translation
Sitewide — Header & Navigation (whiteline.markition.com/)	Home	الرئيسية
Sitewide — Header & Navigation (whiteline.markition.com/)	About Us	من نحن
Sitewide — Header & Navigation (whiteline.markition.com/)	Our Services	خدماتنا
Sitewide — Header & Navigation (whiteline.markition.com/)	Our Fleet	أسطولنا
Sitewide — Header & Navigation (whiteline.markition.com/)	White Line Partners	شركاء وايت لاين
Sitewide — Header & Navigation (whiteline.markition.com/)	Contact Us	تواصل معنا
Sitewide — Header & Navigation (whiteline.markition.com/)	Download Now	حمّل الآن
Homepage — Hero (whiteline.markition.com/)	Luxury Travel With	سفر راقٍ بهدف
Homepage — Hero (whiteline.markition.com/)	Purpose & Precision.	ودقة لا تُضاهى.
Homepage — Hero (whiteline.markition.com/)	White Lane brings together premium chauffeur services and modern technology to create a transportation experience built around comfort, reliability, privacy, and exceptional service.	وايت لاين تجمع بين خدمات السائق الفاخرة والتقنية الحديثة، لتقديم تجربة نقل استثنائية مبنية على الراحة والموثوقية والخصوصية والخدمة المتميزة.
Homepage — Hero (whiteline.markition.com/)	One Way Ride	رحلة أحادية
Homepage — Hero (whiteline.markition.com/)	Simple point-to-point travel.	تنقل مباشر من نقطة لأخرى.
Homepage — Hero (whiteline.markition.com/)	Hourly Chauffeur	سائق بالساعة
Homepage — Hero (whiteline.markition.com/)	Keep your chauffeur by the hour.	احتفظ بسائقك الخاص بالساعة.
Homepage — Hero (whiteline.markition.com/)	City-to-City	بين المدن
Homepage — Hero (whiteline.markition.com/)	Comfortable intercity travel.	رحلات مريحة بين المدن.
Homepage — Hero (whiteline.markition.com/)	Day Service	خدمة اليوم
Homepage — Hero (whiteline.markition.com/)	Full-day vehicle block.	حجز السيارة ليوم كامل.
Homepage — Hero (whiteline.markition.com/)	Airport Transfer	نقل المطار
Homepage — Hero (whiteline.markition.com/)	Airport pickups and drop-offs.	استقبال وتوصيل من وإلى المطار.
Homepage — Hero (whiteline.markition.com/)	Book Now	احجز الآن
Homepage — The Whiteline Experience (whiteline.markition.com/)	The Whiteline Experience	تجربة وايت لاين
Homepage — The Whiteline Experience (whiteline.markition.com/)	More Than A Ride. A	أكثر من مجرد رحلة.
Homepage — The Whiteline Experience (whiteline.markition.com/)	Better Way To Move.	طريقة أفضل للتنقل.
Homepage — The Whiteline Experience (whiteline.markition.com/)	WhiteLane delivers premium chauffeur transportation for people who value comfort, reliability, and exceptional service. From airport transfers to corporate journeys, every ride is designed to make growing more effortless.	تقدم وايت لاين خدمات نقل فاخرة للذين يقدّرون الراحة والموثوقية والخدمة المتميزة. من نقل المطار إلى رحلات الأعمال، كل رحلة مصممة لتجعل حياتك أكثر سلاسة.
Homepage — The Whiteline Experience (whiteline.markition.com/)	K+	ألف+
Homepage — The Whiteline Experience (whiteline.markition.com/)	Successfully / Completed Rides	رحلة مكتملة / بنجاح
Homepage — The Whiteline Experience (whiteline.markition.com/)	+	+
Homepage — The Whiteline Experience (whiteline.markition.com/)	Elite / Chauffeurs	سائق / متميز
Homepage — The Whiteline Experience (whiteline.markition.com/)	%	%
Homepage — The Whiteline Experience (whiteline.markition.com/)	On-Time / Rating	تقييم / الالتزام بالمواعيد
Homepage — The Whiteline Experience (whiteline.markition.com/)	24/7	٢٤/٧
Homepage — The Whiteline Experience (whiteline.markition.com/)	Dedicated / Support	دعم / متواصل
Homepage — Services (whiteline.markition.com/#services)	Our Services	خدماتنا
Homepage — Services (whiteline.markition.com/#services)	One Destination Or Many.	وجهة واحدة أو أكثر.
Homepage — Services (whiteline.markition.com/#services)	We've Got The Ride.	لدينا الرحلة المثالية.
Homepage — Services (whiteline.markition.com/#services)	WhiteLane delivers premium chauffeur transportation for people who value comfort, reliability, and exceptional service. From airport transfers to corporate journeys, every ride is designed to make growing more effortless.	تقدم وايت لاين خدمات نقل فاخرة للذين يقدّرون الراحة والموثوقية والخدمة المتميزة. من نقل المطار إلى رحلات الأعمال، كل رحلة مصممة لتجعل حياتك أكثر سلاسة.
Homepage — Services (whiteline.markition.com/#services)	Explore Service	استعرض الخدمة
Homepage — Services (whiteline.markition.com/#services)	One-Way Ride	رحلة أحادية
Homepage — Services (whiteline.markition.com/#services)	Seamless point-to-point urban transportation — arrive promptly and composed, free from traffic stress and unnecessary detours.	نقل حضري سلس من نقطة إلى أخرى — صل إلى وجهتك في الوقت المحدد وبهدوء تام، بعيداً عن ضغوط المرور والمسارات غير الضرورية.
Homepage — Services (whiteline.markition.com/#services)	Hourly Chauffeur	سائق بالساعة
Homepage — Services (whiteline.markition.com/#services)	A dedicated private chauffeur at your disposal for dynamic itineraries, multiple stops, and complete scheduling flexibility.	سائق خاص مخصص بالكامل لك طوال اليوم، مع مرونة تامة للتنقل بين مواعيد متعددة وتغييرات فورية في الجدول.
Homepage — Services (whiteline.markition.com/#services)	City to City	بين المدن
Homepage — Services (whiteline.markition.com/#services)	Private executive travel between major cities in absolute comfort — relax or conduct business uninterrupted across regions.	سفر تنفيذي خاص بين كبرى المدن في راحة تامة — استرخِ أو أنجز أعمالك دون انقطاع أثناء التنقل.
Homepage — Services (whiteline.markition.com/#services)	Day Service	خدمة اليوم
Homepage — Services (whiteline.markition.com/#services)	Full-day dedicated transport for back-to-back meetings, VIP hosting, and multi-location itineraries with continuous vehicle availability.	نقل مخصص ليوم كامل للاجتماعات المتلاحقة واستضافة كبار الشخصيات والفعاليات متعددة المواقع.
Homepage — Services (whiteline.markition.com/#services)	Airport Transfer	نقل المطار
Homepage — Services (whiteline.markition.com/#services)	Premier airport transfers with real-time flight tracking, proactive delay adjustments, and professional luggage assistance.	نقل مطار احترافي مع تتبع الرحلات فورياً وتعديل المواعيد تلقائياً ومساعدة متخصصة في الأمتعة.
Homepage — Why Choose Whiteline (whiteline.markition.com/)	Why Choose	لماذا تختار
Homepage — Why Choose Whiteline (whiteline.markition.com/)	Whiteline	وايت لاين
Homepage — Why Choose Whiteline (whiteline.markition.com/)	Elevate your travel experience with White Line, where distinction between standard transit & premium service is found in every meticulously detail. We replace uncertainty of traditional transport with uncompromising reliability.	ارتقِ بتجربة سفرك مع وايت لاين، حيث يتجلى الفرق بين النقل العادي والخدمة الراقية في كل تفصيلة. نستبدل غموض وسائل النقل التقليدية بموثوقية لا تتنازل عنها.
Homepage — Why Choose Whiteline (whiteline.markition.com/)	Read More	اقرأ المزيد
Homepage — Journey & Stats (whiteline.markition.com/)	More Than Transportation	أكثر من مجرد نقل
Homepage — Journey & Stats (whiteline.markition.com/)	Designed Around	مصمم حول
Homepage — Journey & Stats (whiteline.markition.com/)	Your Journey.	رحلتك.
Homepage — Journey & Stats (whiteline.markition.com/)	Every booking is managed to perfection, ensuring that you arrive refreshed, relaxed, and strictly on time.	كل حجز يُدار بكل دقة واحترافية، لتصل منتعشاً ومرتاحاً وفي الوقت المحدد تماماً.
Homepage — Journey & Stats (whiteline.markition.com/)	50	50
Homepage — Journey & Stats (whiteline.markition.com/)	K+	ألف+
Homepage — Journey & Stats (whiteline.markition.com/)	Completed Rides	رحلة مكتملة
Homepage — Journey & Stats (whiteline.markition.com/)	500	500
Homepage — Journey & Stats (whiteline.markition.com/)	+	+
Homepage — Journey & Stats (whiteline.markition.com/)	Elite Chauffeurs	سائق متميز
Homepage — Journey & Stats (whiteline.markition.com/)	99	99
Homepage — Journey & Stats (whiteline.markition.com/)	%	%
Homepage — Journey & Stats (whiteline.markition.com/)	On-Time Rating	التزام بالمواعيد
Homepage — Featured Fleet (whiteline.markition.com/#fleet)	The Whiteline Fleet	أسطول وايت لاين
Homepage — Featured Fleet (whiteline.markition.com/#fleet)	Travel In Exceptional	سافر بأقصى درجات
Homepage — Featured Fleet (whiteline.markition.com/#fleet)	Comfort.	الراحة والفخامة.
Homepage — Featured Fleet (whiteline.markition.com/#fleet)	A meticulously maintained collection of luxury sedans and executive vehicles, engineered for utmost comfort, privacy, and seamless travel across the Kingdom.	مجموعة مختارة بعناية من السيارات الفاخرة والمركبات التنفيذية، مصممة لأقصى درجات الراحة والخصوصية والتنقل السلس في أرجاء المملكة.
Homepage — Featured Fleet (whiteline.markition.com/#fleet)	Premium SUV	SUV الفاخرة
Homepage — Featured Fleet (whiteline.markition.com/#fleet)	Spacious, versatile, and elegant. Perfect for small groups, families, and extra luggage capacity.	فسيحة وأنيقة ومتعددة الاستخدامات. مثالية للمجموعات الصغيرة والعائلات وسعة الأمتعة.
Homepage — Featured Fleet (whiteline.markition.com/#fleet)	Executive Class	الدرجة التنفيذية
